inspection_id,company,farm_id,farm_name,district,zone,tree_code,variety,planting_date,status,disease,severity,confidence,temperature,humidity,rainfall_mm,wind_speed,latitude,longitude,inspection_date
INSP00028,Công ty TNHH Nông nghiệp Bền Vững Đắk Lắk,FARM009,Buôn Đôn Organic Farm,Đắk Lắk - Buôn Đôn,Zone A,TREE-0119,Dona,2022-12-19,Diseased,Yellow Leaf,Medium,83.55,34.5,71,4.6,11.9,12.741981,108.586428,2026-06-23T00:00:00
INSP00029,Công ty TNHH AgriFuture Việt Nam,FARM007,Krông Ana Eco Farm,Đắk Lắk - Krông Ana,Zone E,TREE-0195,Ri6,2025-06-21,Healthy,Healthy,None,94.1,22.0,89,82.4,18.8,13.015926,107.997035,2026-01-30T00:00:00
INSP00030,Công ty TNHH AgriFuture Việt Nam,FARM007,Krông Ana Eco Farm,Đắk Lắk - Krông Ana,Zone A,TREE-0738,Dona,2015-07-28,Diseased,Stem Blight,High,86.15,27.3,80,83.7,11.1,12.634288,108.464929,2026-06-20T00:00:00
INSP00031,Công ty TNHH AgriFuture Việt Nam,FARM007,Krông Ana Eco Farm,Đắk Lắk - Krông Ana,Zone D,TREE-0562,Dona,2017-11-26,Healthy,Healthy,None,86.05,24.7,92,72.8,6.4,12.80925,108.475627,2026-06-07T00:00:00
INSP00032,Công ty TNHH Nông nghiệp Bền Vững Đắk Lắk,FARM009,Buôn Đôn Organic Farm,Đắk Lắk - Buôn Đôn,Zone C,TREE-0528,Monthong,2024-08-12,Healthy,Healthy,None,92.32,23.2,70,80.7,4.5,12.639391,107.824425,2026-02-13T00:00:00
INSP00033,Công ty CP Cao Nguyên Harvest,FARM004,Krông Năng Orchard,Đắk Lắk - Krông Năng,Zone D,TREE-0425,Dona,2024-08-28,Monitoring,Mealybug,High,83.87,31.1,86,48.0,3.0,12.981336,108.69266,2026-06-06T00:00:00
INSP00034,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone E,TREE-0476,Ri6,2023-07-15,Healthy,Healthy,None,84.96,33.0,84,16.0,9.3,12.871792,108.358925,2026-02-26T00:00:00
INSP00035,Công ty CP DakLak Premium Durian,FARM006,Ea H'leo Smart Farm,Đắk Lắk - Ea H'leo,Zone E,TREE-0457,Dona,2023-12-05,Diseased,Fruit Rot,High,97.14,27.9,70,100.8,5.5,13.044372,108.284597,2026-06-06T00:00:00
INSP00036,Công ty CP Cao Nguyên Harvest,FARM004,Krông Năng Orchard,Đắk Lắk - Krông Năng,Zone C,TREE-0241,Ri6,2020-02-28,Healthy,Healthy,None,86.36,29.0,63,18.1,7.7,12.606964,108.013953,2026-04-23T00:00:00
INSP00037,Công ty TNHH AgriFuture Việt Nam,FARM007,Krông Ana Eco Farm,Đắk Lắk - Krông Ana,Zone D,TREE-0064,Ri6,2023-02-22,Healthy,Healthy,None,88.36,33.8,92,113.5,0.4,13.11646,108.37569,2026-03-26T00:00:00
INSP00038,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone D,TREE-0874,Dona,2014-02-18,Healthy,Healthy,None,96.63,29.0,89,96.0,18.0,12.841761,108.072935,2026-04-01T00:00:00
INSP00039,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone D,TREE-0742,Ri6,2014-08-26,Healthy,Healthy,None,89.3,23.7,94,64.1,18.1,12.914325,108.463,2026-04-10T00:00:00
INSP00040,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone A,TREE-0267,Ri6,2023-08-13,Monitoring,Pink Disease,Low,89.05,26.4,79,33.4,19.0,12.795095,108.634911,2026-02-04T00:00:00
INSP00041,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone C,TREE-0230,Monthong,2014-06-08,Healthy,Healthy,None,95.55,30.5,56,114.0,4.0,12.514266,107.952382,2026-05-19T00:00:00
INSP00042,Công ty TNHH Tây Nguyên Fruits,FARM003,Cư M'gar Green Farm,Đắk Lắk - Cư M'gar,Zone B,TREE-0477,Monthong,2024-08-15,Healthy,Healthy,None,95.26,24.2,93,115.6,14.4,13.044454,107.963766,2026-06-21T00:00:00
INSP00043,Công ty TNHH Green Durian Việt Nam,FARM005,Buôn Hồ Durian Farm,Đắk Lắk - Buôn Hồ,Zone C,TREE-0590,Monthong,2016-06-04,Healthy,Healthy,None,99.07,27.2,67,9.1,13.8,12.93907,107.901901,2026-05-29T00:00:00
INSP00044,Công ty TNHH Green Durian Việt Nam,FARM005,Buôn Hồ Durian Farm,Đắk Lắk - Buôn Hồ,Zone E,TREE-0439,Monthong,2016-09-18,Diseased,Canker,Low,90.07,26.4,81,98.7,2.1,13.172551,108.435585,2026-05-25T00:00:00
INSP00045,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone E,TREE-0989,Monthong,2017-06-07,Healthy,Healthy,None,92.26,34.0,85,55.8,16.5,12.914732,108.122305,2026-04-22T00:00:00
INSP00046,Công ty CP Cao Nguyên Harvest,FARM004,Krông Năng Orchard,Đắk Lắk - Krông Năng,Zone D,TREE-0584,Monthong,2015-12-11,Monitoring,Sooty Mold,Medium,86.69,28.4,75,21.8,4.2,13.058483,108.140339,2026-03-13T00:00:00
INSP00047,Công ty CP AI Agriculture Việt Nam,FARM010,Lắk Highland Farm,Đắk Lắk - Lắk,Zone B,TREE-0088,Ri6,2020-03-13,Healthy,Healthy,None,88.09,29.2,70,82.9,12.9,12.843575,108.592933,2026-05-23T00:00:00
INSP00048,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone B,TREE-0314,Monthong,2020-08-07,Healthy,Healthy,None,87.34,29.2,77,51.1,14.9,12.731554,108.502855,2026-02-26T00:00:00
INSP00049,Công ty TNHH Green Durian Việt Nam,FARM005,Buôn Hồ Durian Farm,Đắk Lắk - Buôn Hồ,Zone B,TREE-0324,Ri6,2020-11-16,Healthy,Healthy,None,90.66,31.9,66,23.0,14.8,12.69355,108.389587,2026-03-06T00:00:00
INSP00050,Công ty TNHH Nông nghiệp Bền Vững Đắk Lắk,FARM009,Buôn Đôn Organic Farm,Đắk Lắk - Buôn Đôn,Zone B,TREE-0370,Ri6,2020-05-07,Diseased,Mealybug,Low,94.09,23.6,57,116.9,11.1,12.988192,107.926279,2026-01-26T00:00:00
INSP00051,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone D,TREE-0491,Ri6,2016-04-20,Healthy,Healthy,None,83.67,22.7,85,13.7,1.3,12.844223,108.377021,2026-01-04T00:00:00
INSP00052,Công ty TNHH Nông nghiệp Đắk Lắk Xanh,FARM001,Krông Pắc Durian Farm,Đắk Lắk - Krông Pắc,Zone A,TREE-0255,Ri6,2017-05-27,Diseased,Fruit Rot,Medium,92.07,32.3,69,93.1,7.6,13.135953,108.097353,2026-02-08T00:00:00
INSP00053,Công ty CP AI Agriculture Việt Nam,FARM010,Lắk Highland Farm,Đắk Lắk - Lắk,Zone A,TREE-0625,Dona,2023-08-14,Healthy,Healthy,None,81.97,31.9,95,25.3,13.2,12.60994,107.973814,2026-03-20T00:00:00
INSP00054,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone E,TREE-0482,Ri6,2017-07-06,Healthy,Healthy,None,84.61,31.2,84,8.5,4.7,12.685188,108.591248,2026-01-01T00:00:00
INSP00055,Công ty CP AI Agriculture Việt Nam,FARM010,Lắk Highland Farm,Đắk Lắk - Lắk,Zone B,TREE-0664,Ri6,2018-06-09,Healthy,Healthy,None,85.29,23.8,58,19.9,6.2,13.02427,108.369207,2026-04-19T00:00:00
INSP00056,Công ty TNHH Green Durian Việt Nam,FARM005,Buôn Hồ Durian Farm,Đắk Lắk - Buôn Hồ,Zone C,TREE-0717,Ri6,2023-11-07,Healthy,Healthy,None,85.42,29.0,83,9.7,0.8,12.80242,108.122322,2026-02-01T00:00:00
INSP00057,Công ty TNHH Green Durian Việt Nam,FARM005,Buôn Hồ Durian Farm,Đắk Lắk - Buôn Hồ,Zone E,TREE-0602,Dona,2014-07-31,Healthy,Healthy,None,99.89,30.7,72,69.1,15.3,12.622634,108.318964,2026-01-24T00:00:00
INSP00058,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone D,TREE-0993,Ri6,2020-03-28,Diseased,Yellow Leaf,Medium,88.13,26.2,61,102.9,6.6,12.985572,108.088218,2026-02-16T00:00:00
INSP00059,Công ty TNHH AgriFuture Việt Nam,FARM007,Krông Ana Eco Farm,Đắk Lắk - Krông Ana,Zone C,TREE-0332,Ri6,2014-10-28,Healthy,Healthy,None,95.37,33.2,55,78.9,10.9,12.789273,107.987583,2026-04-27T00:00:00
INSP00060,Công ty CP DakLak Premium Durian,FARM006,Ea H'leo Smart Farm,Đắk Lắk - Ea H'leo,Zone A,TREE-0209,Ri6,2025-03-07,Healthy,Healthy,None,82.61,25.7,86,14.6,19.5,12.92621,108.039297,2026-06-10T00:00:00
INSP00061,Công ty TNHH Tây Nguyên Fruits,FARM003,Cư M'gar Green Farm,Đắk Lắk - Cư M'gar,Zone D,TREE-0096,Ri6,2020-12-20,Healthy,Healthy,None,96.74,23.5,62,77.7,3.1,13.152857,108.091862,2026-05-22T00:00:00
INSP00062,Công ty TNHH Green Durian Việt Nam,FARM005,Buôn Hồ Durian Farm,Đắk Lắk - Buôn Hồ,Zone D,TREE-0565,Ri6,2023-04-27,Monitoring,Yellow Leaf,Low,98.35,28.6,63,103.7,5.5,13.053004,108.214942,2026-05-04T00:00:00
INSP00063,Công ty TNHH Nông nghiệp Bền Vững Đắk Lắk,FARM009,Buôn Đôn Organic Farm,Đắk Lắk - Buôn Đôn,Zone C,TREE-0858,Monthong,2019-12-29,Healthy,Healthy,None,99.88,28.4,64,53.6,9.7,12.732708,108.562873,2026-01-01T00:00:00
INSP00064,Công ty TNHH AgriFuture Việt Nam,FARM007,Krông Ana Eco Farm,Đắk Lắk - Krông Ana,Zone E,TREE-0393,Ri6,2024-03-19,Monitoring,Pink Disease,Medium,80.87,31.7,79,46.3,13.3,13.074523,108.780818,2026-03-24T00:00:00
INSP00065,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone E,TREE-0340,Dona,2014-10-31,Healthy,Healthy,None,97.4,27.7,88,109.3,0.3,12.600909,108.670933,2026-02-02T00:00:00
INSP00066,Công ty TNHH Tây Nguyên Fruits,FARM003,Cư M'gar Green Farm,Đắk Lắk - Cư M'gar,Zone C,TREE-0639,Monthong,2015-09-05,Diseased,Canker,High,81.6,26.3,89,45.6,6.3,13.003102,108.559402,2026-05-01T00:00:00
INSP00067,Công ty TNHH Nông nghiệp Bền Vững Đắk Lắk,FARM009,Buôn Đôn Organic Farm,Đắk Lắk - Buôn Đôn,Zone C,TREE-0233,Monthong,2014-10-22,Healthy,Healthy,None,88.64,23.3,95,84.5,2.0,12.616455,108.099466,2026-06-08T00:00:00
INSP00068,Công ty TNHH Nông nghiệp Đắk Lắk Xanh,FARM001,Krông Pắc Durian Farm,Đắk Lắk - Krông Pắc,Zone C,TREE-0384,Ri6,2015-01-12,Diseased,Fruit Rot,Low,90.57,29.4,66,20.4,1.6,13.109588,108.41971,2026-03-25T00:00:00
INSP00069,Công ty CP Cao Nguyên Harvest,FARM004,Krông Năng Orchard,Đắk Lắk - Krông Năng,Zone D,TREE-0654,Ri6,2025-02-28,Healthy,Healthy,None,85.08,22.1,84,108.1,13.6,12.610583,108.24173,2026-05-30T00:00:00
INSP00070,Công ty CP DakLak Premium Durian,FARM006,Ea H'leo Smart Farm,Đắk Lắk - Ea H'leo,Zone D,TREE-0866,Ri6,2020-09-16,Diseased,Stem Cracking Gummosis,Medium,96.98,23.4,79,68.6,11.5,13.194884,108.095231,2026-06-13T00:00:00
INSP00071,Công ty TNHH AgriFuture Việt Nam,FARM007,Krông Ana Eco Farm,Đắk Lắk - Krông Ana,Zone A,TREE-0933,Monthong,2020-02-27,Healthy,Healthy,None,89.88,33.8,73,93.1,4.6,13.061352,108.019005,2026-01-03T00:00:00
INSP00072,Công ty CP Cao Nguyên Harvest,FARM004,Krông Năng Orchard,Đắk Lắk - Krông Năng,Zone A,TREE-0926,Monthong,2019-08-16,Monitoring,Anthracnose,Low,86.15,27.7,92,43.8,2.6,13.136739,108.126719,2026-06-23T00:00:00
INSP00073,Công ty TNHH AgriFuture Việt Nam,FARM007,Krông Ana Eco Farm,Đắk Lắk - Krông Ana,Zone E,TREE-0898,Dona,2017-12-09,Healthy,Healthy,None,90.56,33.9,65,30.8,16.5,12.837293,108.606488,2026-02-21T00:00:00
INSP00074,Công ty CP DakLak Premium Durian,FARM006,Ea H'leo Smart Farm,Đắk Lắk - Ea H'leo,Zone B,TREE-0881,Monthong,2016-08-01,Monitoring,Stem Cracking Gummosis,High,99.5,34.6,90,43.9,15.8,12.509743,108.336572,2026-04-30T00:00:00
INSP00075,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone E,TREE-0391,Dona,2022-04-08,Diseased,Anthracnose,Medium,82.16,25.0,56,74.3,18.9,12.729604,108.410082,2026-06-22T00:00:00
INSP00076,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone D,TREE-0120,Ri6,2024-05-31,Healthy,Healthy,None,98.83,26.0,86,13.9,4.7,12.876283,108.188646,2026-06-29T00:00:00
INSP00077,Công ty CP DakLak Premium Durian,FARM006,Ea H'leo Smart Farm,Đắk Lắk - Ea H'leo,Zone D,TREE-0671,Ri6,2023-05-27,Monitoring,Anthracnose,Medium,92.25,34.2,72,3.9,7.4,12.810368,108.750555,2026-05-31T00:00:00
INSP00078,Công ty CP DakLak Premium Durian,FARM006,Ea H'leo Smart Farm,Đắk Lắk - Ea H'leo,Zone C,TREE-0063,Ri6,2016-03-24,Healthy,Healthy,None,83.78,23.6,84,11.0,4.2,12.947645,108.771093,2026-06-25T00:00:00
INSP00079,Công ty TNHH Nông nghiệp Đắk Lắk Xanh,FARM001,Krông Pắc Durian Farm,Đắk Lắk - Krông Pắc,Zone A,TREE-0850,Monthong,2021-06-25,Monitoring,Yellow Leaf,Low,91.67,32.6,69,39.4,3.0,13.130372,107.802836,2026-03-04T00:00:00
INSP00080,Công ty TNHH Tây Nguyên Fruits,FARM003,Cư M'gar Green Farm,Đắk Lắk - Cư M'gar,Zone B,TREE-0113,Monthong,2016-11-30,Healthy,Healthy,None,80.51,22.2,70,70.7,0.3,12.685757,107.926759,2026-05-19T00:00:00
INSP00081,Công ty TNHH AgriFuture Việt Nam,FARM007,Krông Ana Eco Farm,Đắk Lắk - Krông Ana,Zone D,TREE-0797,Ri6,2025-10-19,Diseased,Anthracnose,High,82.17,28.5,94,5.2,15.7,13.106887,108.321451,2026-01-30T00:00:00
INSP00082,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone D,TREE-0703,Ri6,2014-09-13,Diseased,Yellow Leaf,High,98.1,23.0,60,38.7,3.0,12.588334,108.424317,2026-01-16T00:00:00
INSP00083,Công ty CP AI Agriculture Việt Nam,FARM010,Lắk Highland Farm,Đắk Lắk - Lắk,Zone D,TREE-0518,Monthong,2021-04-17,Diseased,Yellow Leaf,Low,95.78,23.5,96,78.1,15.4,13.004588,108.015023,2026-04-08T00:00:00
INSP00084,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone D,TREE-0409,Ri6,2019-02-15,Healthy,Healthy,None,81.89,27.5,71,44.9,3.1,13.14609,107.867133,2026-04-16T00:00:00
INSP00085,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone C,TREE-0832,Ri6,2016-02-03,Healthy,Healthy,None,81.19,34.4,90,39.6,2.4,12.747519,108.465341,2026-04-21T00:00:00
INSP00086,Công ty TNHH AgriFuture Việt Nam,FARM007,Krông Ana Eco Farm,Đắk Lắk - Krông Ana,Zone C,TREE-0107,Monthong,2015-02-26,Healthy,Healthy,None,84.23,30.5,69,101.7,7.0,12.889386,107.914885,2026-03-15T00:00:00
INSP00087,Công ty TNHH Green Durian Việt Nam,FARM005,Buôn Hồ Durian Farm,Đắk Lắk - Buôn Hồ,Zone E,TREE-0952,Monthong,2019-01-27,Monitoring,Mealybug,High,85.32,24.3,74,110.6,7.0,12.626984,107.943251,2026-04-20T00:00:00
INSP00088,Công ty TNHH AgriFuture Việt Nam,FARM007,Krông Ana Eco Farm,Đắk Lắk - Krông Ana,Zone A,TREE-0765,Monthong,2015-07-25,Monitoring,Anthracnose,Medium,88.35,26.4,78,37.4,6.5,13.158985,108.396224,2026-02-06T00:00:00
INSP00089,Công ty TNHH Nông nghiệp Đắk Lắk Xanh,FARM001,Krông Pắc Durian Farm,Đắk Lắk - Krông Pắc,Zone A,TREE-0279,Ri6,2017-06-28,Monitoring,Anthracnose,Medium,89.66,27.7,72,25.9,10.2,12.741621,107.91089,2026-02-10T00:00:00
INSP00090,Công ty CP AI Agriculture Việt Nam,FARM010,Lắk Highland Farm,Đắk Lắk - Lắk,Zone A,TREE-0226,Ri6,2024-11-30,Healthy,Healthy,None,91.93,22.1,74,113.4,15.3,13.034913,108.089447,2026-05-15T00:00:00
INSP00091,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone B,TREE-0390,Monthong,2014-03-05,Monitoring,Anthracnose,Low,89.96,32.8,77,8.6,17.2,12.529612,107.818742,2026-05-08T00:00:00
INSP00092,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone D,TREE-0727,Monthong,2021-01-08,Healthy,Healthy,None,85.76,27.3,75,20.6,19.0,12.822068,108.48961,2026-05-28T00:00:00
INSP00093,Công ty CP DakLak Premium Durian,FARM006,Ea H'leo Smart Farm,Đắk Lắk - Ea H'leo,Zone D,TREE-0604,Ri6,2015-12-23,Monitoring,Mealybug,Low,87.88,26.0,76,26.6,15.6,12.553466,108.433225,2026-04-22T00:00:00
INSP00094,Công ty TNHH Nông nghiệp Bền Vững Đắk Lắk,FARM009,Buôn Đôn Organic Farm,Đắk Lắk - Buôn Đôn,Zone C,TREE-0745,Dona,2025-06-09,Diseased,Sooty Mold,High,96.22,25.1,64,30.7,3.5,12.607009,108.559152,2026-02-19T00:00:00
INSP00095,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone E,TREE-0779,Monthong,2017-12-22,Healthy,Healthy,None,93.55,33.5,96,76.2,12.5,13.104973,108.427217,2026-06-10T00:00:00
INSP00096,Công ty TNHH Tây Nguyên Fruits,FARM003,Cư M'gar Green Farm,Đắk Lắk - Cư M'gar,Zone C,TREE-0816,Ri6,2023-11-12,Healthy,Healthy,None,81.12,28.6,74,55.4,0.8,12.758116,108.087077,2026-01-18T00:00:00
INSP00097,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone E,TREE-0978,Monthong,2025-05-16,Healthy,Healthy,None,97.83,27.8,91,78.2,6.4,12.83294,107.950861,2026-04-09T00:00:00
INSP00098,Công ty TNHH Nông nghiệp Đắk Lắk Xanh,FARM001,Krông Pắc Durian Farm,Đắk Lắk - Krông Pắc,Zone A,TREE-0517,Monthong,2024-02-08,Diseased,Fruit Rot,Low,84.93,27.7,83,62.9,12.2,12.754729,108.717937,2026-01-27T00:00:00
